sample_name	metric	marker	slope	geodiversity	a	b	niche_a	niche_b	withinamong	distance
219	unweighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3001	Shrub	Shrub	within Shrub	0.6512342635637344
220	unweighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3002	Shrub	Shrub	within Shrub	0.689414975892096
221	unweighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3003	Shrub	Shrub	within Shrub	0.7690073889671613
222	unweighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3004	Shrub	Shrub	within Shrub	0.5751055092669229
223	unweighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3005	Shrub	Intershrub	among niches	0.7079035623996772
224	unweighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3006	Shrub	Intershrub	among niches	0.6028061944311602
225	unweighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3007	Shrub	Intershrub	among niches	0.6455762754382518
226	unweighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3008	Shrub	Intershrub	among niches	0.6434163162719156
227	unweighted	ITS1	O1	Homogeneous	ITS-AS3000	ITS-AS3009	Shrub	Intershrub	among niches	0.614251963906765
228	unweighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3002	Shrub	Shrub	within Shrub	0.706040876169012
229	unweighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3003	Shrub	Shrub	within Shrub	0.6724588871343335
230	unweighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3004	Shrub	Shrub	within Shrub	0.6013260131500741
231	unweighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3005	Shrub	Intershrub	among niches	0.6509203069473649
232	unweighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3006	Shrub	Intershrub	among niches	0.7331260511720773
233	unweighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3007	Shrub	Intershrub	among niches	0.6160411635657712
234	unweighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3008	Shrub	Intershrub	among niches	0.6368302085540277
235	unweighted	ITS1	O1	Homogeneous	ITS-AS3001	ITS-AS3009	Shrub	Intershrub	among niches	0.6324132052540576
236	unweighted	ITS1	O1	Homogeneous	ITS-AS3002	ITS-AS3003	Shrub	Shrub	within Shrub	0.6852474656265971
237	unweighted	ITS1	O1	Homogeneous	ITS-AS3002	ITS-AS3004	Shrub	Shrub	within Shrub	0.6963304649019201
238	unweighted	ITS1	O1	Homogeneous	ITS-AS3002	ITS-AS3005	Shrub	Intershrub	among niches	0.6991657106576114
239	unweighted	ITS1	O1	Homogeneous	ITS-AS3002	ITS-AS3006	Shrub	Intershrub	among niches	0.7363266599272967
240	unweighted	ITS1	O1	Homogeneous	ITS-AS3002	ITS-AS3007	Shrub	Intershrub	among niches	0.6615503075352108
241	unweighted	ITS1	O1	Homogeneous	ITS-AS3002	ITS-AS3008	Shrub	Intershrub	among niches	0.748874473565125
242	unweighted	ITS1	O1	Homogeneous	ITS-AS3002	ITS-AS3009	Shrub	Intershrub	among niches	0.6605145165463163
243	unweighted	ITS1	O1	Homogeneous	ITS-AS3003	ITS-AS3004	Shrub	Shrub	within Shrub	0.6890323123317375
244	unweighted	ITS1	O1	Homogeneous	ITS-AS3003	ITS-AS3005	Shrub	Intershrub	among niches	0.6407983571668249
245	unweighted	ITS1	O1	Homogeneous	ITS-AS3003	ITS-AS3006	Shrub	Intershrub	among niches	0.7530628160919828
246	unweighted	ITS1	O1	Homogeneous	ITS-AS3003	ITS-AS3007	Shrub	Intershrub	among niches	0.629617380257614
247	unweighted	ITS1	O1	Homogeneous	ITS-AS3003	ITS-AS3008	Shrub	Intershrub	among niches	0.6999427981343317
248	unweighted	ITS1	O1	Homogeneous	ITS-AS3003	ITS-AS3009	Shrub	Intershrub	among niches	0.5950102749979594
249	unweighted	ITS1	O1	Homogeneous	ITS-AS3004	ITS-AS3005	Shrub	Intershrub	among niches	0.7309028369425762
250	unweighted	ITS1	O1	Homogeneous	ITS-AS3004	ITS-AS3006	Shrub	Intershrub	among niches	0.632935821322177
251	unweighted	ITS1	O1	Homogeneous	ITS-AS3004	ITS-AS3007	Shrub	Intershrub	among niches	0.6176515584857067
252	unweighted	ITS1	O1	Homogeneous	ITS-AS3004	ITS-AS3008	Shrub	Intershrub	among niches	0.7032250106404853
253	unweighted	ITS1	O1	Homogeneous	ITS-AS3004	ITS-AS3009	Shrub	Intershrub	among niches	0.6962640566540532
254	unweighted	ITS1	O1	Homogeneous	ITS-AS3005	ITS-AS3006	Intershrub	Intershrub	within Intershrub	0.6837681156528889
255	unweighted	ITS1	O1	Homogeneous	ITS-AS3005	ITS-AS3007	Intershrub	Intershrub	within Intershrub	0.6233732056195496
256	unweighted	ITS1	O1	Homogeneous	ITS-AS3005	ITS-AS3008	Intershrub	Intershrub	within Intershrub	0.6633224950400064
257	unweighted	ITS1	O1	Homogeneous	ITS-AS3005	ITS-AS3009	Intershrub	Intershrub	within Intershrub	0.5111141932285198
258	unweighted	ITS1	O1	Homogeneous	ITS-AS3006	ITS-AS3007	Intershrub	Intershrub	within Intershrub	0.5740186506045122
259	unweighted	ITS1	O1	Homogeneous	ITS-AS3006	ITS-AS3008	Intershrub	Intershrub	within Intershrub	0.7201026584578128
260	unweighted	ITS1	O1	Homogeneous	ITS-AS3006	ITS-AS3009	Intershrub	Intershrub	within Intershrub	0.6591002889462013
261	unweighted	ITS1	O1	Homogeneous	ITS-AS3007	ITS-AS3008	Intershrub	Intershrub	within Intershrub	0.6396178823570382
262	unweighted	ITS1	O1	Homogeneous	ITS-AS3007	ITS-AS3009	Intershrub	Intershrub	within Intershrub	0.5722880654073927
263	unweighted	ITS1	O1	Homogeneous	ITS-AS3008	ITS-AS3009	Intershrub	Intershrub	within Intershrub	0.5885515776373276
264	unweighted	ITS1	O2	Homogeneous	ITS-AS3010	ITS-AS3011	Shrub	Shrub	within Shrub	0.6491832488472448
265	unweighted	ITS1	O2	Homogeneous	ITS-AS3010	ITS-AS3012	Shrub	Shrub	within Shrub	0.7106833455548321
266	unweighted	ITS1	O2	Homogeneous	ITS-AS3010	ITS-AS3013	Shrub	Shrub	within Shrub	0.6849952726494121
267	unweighted	ITS1	O2	Homogeneous	ITS-AS3010	ITS-AS3014	Shrub	Shrub	within Shrub	0.6178936843150985
268	unweighted	ITS1	O2	Homogeneous	ITS-AS3010	ITS-AS3015	Shrub	Intershrub	among niches	0.7330144591608414
269	unweighted	ITS1	O2	Homogeneous	ITS-AS3010	ITS-AS3016	Shrub	Intershrub	among niches	0.7310746742769881
270	unweighted	ITS1	O2	Homogeneous	ITS-AS3010	ITS-AS3017	Shrub	Intershrub	among niches	0.7351594699734042
271	unweighted	ITS1	O2	Homogeneous	ITS-AS3010	ITS-AS3018	Shrub	Intershrub	among niches	0.7640742613365652
272	unweighted	ITS1	O2	Homogeneous	ITS-AS3010	ITS-AS3019	Shrub	Intershrub	among niches	0.6275151529295073
273	unweighted	ITS1	O2	Homogeneous	ITS-AS3011	ITS-AS3012	Shrub	Shrub	within Shrub	0.6531458571503079
274	unweighted	ITS1	O2	Homogeneous	ITS-AS3011	ITS-AS3013	Shrub	Shrub	within Shrub	0.782471064311226
275	unweighted	ITS1	O2	Homogeneous	ITS-AS3011	ITS-AS3014	Shrub	Shrub	within Shrub	0.5943135946123711
276	unweighted	ITS1	O2	Homogeneous	ITS-AS3011	ITS-AS3015	Shrub	Intershrub	among niches	0.7613703194988227
277	unweighted	ITS1	O2	Homogeneous	ITS-AS3011	ITS-AS3016	Shrub	Intershrub	among niches	0.7160220771460603
278	unweighted	ITS1	O2	Homogeneous	ITS-AS3011	ITS-AS3017	Shrub	Intershrub	among niches	0.7195471573637119
279	unweighted	ITS1	O2	Homogeneous	ITS-AS3011	ITS-AS3018	Shrub	Intershrub	among niches	0.6919487868472624
280	unweighted	ITS1	O2	Homogeneous	ITS-AS3011	ITS-AS3019	Shrub	Intershrub	among niches	0.6746363130076898
281	unweighted	ITS1	O2	Homogeneous	ITS-AS3012	ITS-AS3013	Shrub	Shrub	within Shrub	0.7703762831390658
282	unweighted	ITS1	O2	Homogeneous	ITS-AS3012	ITS-AS3014	Shrub	Shrub	within Shrub	0.6993744366630702
283	unweighted	ITS1	O2	Homogeneous	ITS-AS3012	ITS-AS3015	Shrub	Intershrub	among niches	0.6185265023550471
284	unweighted	ITS1	O2	Homogeneous	ITS-AS3012	ITS-AS3016	Shrub	Intershrub	among niches	0.5948990840976972
285	unweighted	ITS1	O2	Homogeneous	ITS-AS3012	ITS-AS3017	Shrub	Intershrub	among niches	0.6990087818602239
286	unweighted	ITS1	O2	Homogeneous	ITS-AS3012	ITS-AS3018	Shrub	Intershrub	among niches	0.6400912797605466
287	unweighted	ITS1	O2	Homogeneous	ITS-AS3012	ITS-AS3019	Shrub	Intershrub	among niches	0.5903240551519012
288	unweighted	ITS1	O2	Homogeneous	ITS-AS3013	ITS-AS3014	Shrub	Shrub	within Shrub	0.6849183351617849
289	unweighted	ITS1	O2	Homogeneous	ITS-AS3013	ITS-AS3015	Shrub	Intershrub	among niches	0.7863733373696286
290	unweighted	ITS1	O2	Homogeneous	ITS-AS3013	ITS-AS3016	Shrub	Intershrub	among niches	0.7872148628926776
291	unweighted	ITS1	O2	Homogeneous	ITS-AS3013	ITS-AS3017	Shrub	Intershrub	among niches	0.7529419857089585
292	unweighted	ITS1	O2	Homogeneous	ITS-AS3013	ITS-AS3018	Shrub	Intershrub	among niches	0.7757712635050399
293	unweighted	ITS1	O2	Homogeneous	ITS-AS3013	ITS-AS3019	Shrub	Intershrub	among niches	0.7064744780951685
294	unweighted	ITS1	O2	Homogeneous	ITS-AS3014	ITS-AS3015	Shrub	Intershrub	among niches	0.7187716466379098
295	unweighted	ITS1	O2	Homogeneous	ITS-AS3014	ITS-AS3016	Shrub	Intershrub	among niches	0.7228824746252972
296	unweighted	ITS1	O2	Homogeneous	ITS-AS3014	ITS-AS3017	Shrub	Intershrub	among niches	0.7203068379541031
297	unweighted	ITS1	O2	Homogeneous	ITS-AS3014	ITS-AS3018	Shrub	Intershrub	among niches	0.6817241270926654
298	unweighted	ITS1	O2	Homogeneous	ITS-AS3014	ITS-AS3019	Shrub	Intershrub	among niches	0.6614039528949814
299	unweighted	ITS1	O2	Homogeneous	ITS-AS3015	ITS-AS3016	Intershrub	Intershrub	within Intershrub	0.6260266736772387
300	unweighted	ITS1	O2	Homogeneous	ITS-AS3015	ITS-AS3017	Intershrub	Intershrub	within Intershrub	0.5993709078265943
301	unweighted	ITS1	O2	Homogeneous	ITS-AS3015	ITS-AS3018	Intershrub	Intershrub	within Intershrub	0.6500531522716794
302	unweighted	ITS1	O2	Homogeneous	ITS-AS3015	ITS-AS3019	Intershrub	Intershrub	within Intershrub	0.6311434794231853
303	unweighted	ITS1	O2	Homogeneous	ITS-AS3016	ITS-AS3017	Intershrub	Intershrub	within Intershrub	0.6227667402618015
304	unweighted	ITS1	O2	Homogeneous	ITS-AS3016	ITS-AS3018	Intershrub	Intershrub	within Intershrub	0.6736262029457902
305	unweighted	ITS1	O2	Homogeneous	ITS-AS3016	ITS-AS3019	Intershrub	Intershrub	within Intershrub	0.5679016582474511
306	unweighted	ITS1	O2	Homogeneous	ITS-AS3017	ITS-AS3018	Intershrub	Intershrub	within Intershrub	0.6479790885423162
307	unweighted	ITS1	O2	Homogeneous	ITS-AS3017	ITS-AS3019	Intershrub	Intershrub	within Intershrub	0.6273955839834553
308	unweighted	ITS1	O2	Homogeneous	ITS-AS3018	ITS-AS3019	Intershrub	Intershrub	within Intershrub	0.6861358019000563
309	unweighted	ITS1	O3	Homogeneous	ITS-AS3020	ITS-AS3021	Shrub	Shrub	within Shrub	0.6835164280720522
310	unweighted	ITS1	O3	Homogeneous	ITS-AS3020	ITS-AS3022	Shrub	Shrub	within Shrub	0.6143311142423238
311	unweighted	ITS1	O3	Homogeneous	ITS-AS3020	ITS-AS3023	Shrub	Shrub	within Shrub	0.6849934824160032
312	unweighted	ITS1	O3	Homogeneous	ITS-AS3020	ITS-AS3025	Shrub	Intershrub	among niches	0.5890996651974023
313	unweighted	ITS1	O3	Homogeneous	ITS-AS3020	ITS-AS3026	Shrub	Intershrub	among niches	0.6411722595281671
314	unweighted	ITS1	O3	Homogeneous	ITS-AS3020	ITS-AS3028	Shrub	Intershrub	among niches	0.7378498901879529
315	unweighted	ITS1	O3	Homogeneous	ITS-AS3020	ITS-AS3029	Shrub	Intershrub	among niches	0.6162250605625971
316	unweighted	ITS1	O3	Homogeneous	ITS-AS3021	ITS-AS3022	Shrub	Shrub	within Shrub	0.6443405112948775
317	unweighted	ITS1	O3	Homogeneous	ITS-AS3021	ITS-AS3023	Shrub	Shrub	within Shrub	0.6155775526870352
318	unweighted	ITS1	O3	Homogeneous	ITS-AS3021	ITS-AS3025	Shrub	Intershrub	among niches	0.7321181645819584
319	unweighted	ITS1	O3	Homogeneous	ITS-AS3021	ITS-AS3026	Shrub	Intershrub	among niches	0.7004575841376233
320	unweighted	ITS1	O3	Homogeneous	ITS-AS3021	ITS-AS3028	Shrub	Intershrub	among niches	0.8212186922133161
321	unweighted	ITS1	O3	Homogeneous	ITS-AS3021	ITS-AS3029	Shrub	Intershrub	among niches	0.7117331786693707
322	unweighted	ITS1	O3	Homogeneous	ITS-AS3022	ITS-AS3023	Shrub	Shrub	within Shrub	0.6329205004874136
323	unweighted	ITS1	O3	Homogeneous	ITS-AS3022	ITS-AS3025	Shrub	Intershrub	among niches	0.6574073092786743
324	unweighted	ITS1	O3	Homogeneous	ITS-AS3022	ITS-AS3026	Shrub	Intershrub	among niches	0.5901934873577096
325	unweighted	ITS1	O3	Homogeneous	ITS-AS3022	ITS-AS3028	Shrub	Intershrub	among niches	0.7548765979382034
326	unweighted	ITS1	O3	Homogeneous	ITS-AS3022	ITS-AS3029	Shrub	Intershrub	among niches	0.7089597471542507
327	unweighted	ITS1	O3	Homogeneous	ITS-AS3023	ITS-AS3025	Shrub	Intershrub	among niches	0.7173800335984601
328	unweighted	ITS1	O3	Homogeneous	ITS-AS3023	ITS-AS3026	Shrub	Intershrub	among niches	0.6926155144722163
